product_title,product_price,product_image_src,product_link
White School Polo Shirt 5 Pack,£7.50,"https://asda.scene7.com/is/image/Asda/5059194006713?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/school/boys-school-polo-shirts/white-school-polo-shirt-5-pack/GEM1027123-23619,default,pd.html?clr=White"
White Crew Neck School T-Shirt 2 Pack,£2,"https://asda.scene7.com/is/image/Asda/5059188972390?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/school/sports-swimwear/white-crew-neck-school-t-shirt-2-pack/GEM895449-23619,default,pd.html?clr=White"
Navy School Sweatshirt 2 Pack,£5,"https://asda.scene7.com/is/image/Asda/5059190684335?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/school/cardigans-jumpers/navy-school-sweatshirt-2-pack/GEM957154-23540,default,pd.html?clr=Navy"
Boys Grey Half Elastic School Trouser 2 Pack,,"https://asda.scene7.com/is/image/Asda/5059191533137?hei=305&wid=230&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/school/trousers/boys-grey-half-elastic-school-trouser-2-pack/GEM957152,default,pd.html?cgid=D10M1G1C16"
Black Cotton Rich Ankle Socks 7 Pack,,"https://asda.scene7.com/is/image/Asda/5059194692459?hei=305&wid=230&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/kids/underwear-socks/black-cotton-rich-ankle-socks-7-pack/GEM1042856,default,pd.html?cgid=D25M1G1C10"
Boys Black Regular Leg School Trousers 2 Pack,,"https://asda.scene7.com/is/image/Asda/5059191571733?hei=305&wid=230&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/school/trousers/boys-black-regular-leg-school-trousers-2-pack/GEM957621,default,pd.html?cgid=D10M1G1C16"
White Short Sleeve School Polo Shirts 2 Pack,,"https://asda.scene7.com/is/image/Asda/5059194004474?hei=305&wid=230&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/school/boys-school-polo-shirts/white-short-sleeve-school-polo-shirts-2-pack/GEM1026922,default,pd.html?cgid=D10M1G1C2"
Cobalt V Neck School Jumper 2 Pack,£7,"https://asda.scene7.com/is/image/Asda/5059192397691?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/school/jumpers-sweatshirts/cobalt-v-neck-school-jumper-2-pack/GEM980764-122253,default,pd.html?clr=Cobalt"
Red School Polo Shirt 5 Pack,£7.50,"https://asda.scene7.com/is/image/Asda/5059194015395?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/school/boys-school-polo-shirts/red-school-polo-shirt-5-pack/GEM1027123-23603,default,pd.html?clr=Red"
Light Blue School Polo Shirt 5 Pack,£7.50,"https://asda.scene7.com/is/image/Asda/5059194100817?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/school/boys-school-polo-shirts/light-blue-school-polo-shirt-5-pack/GEM1027123-23536,default,pd.html?clr=Light+Blue"
Easy On Boys White Short Sleeve School Shirt 2 Pack,£3.50,"https://asda.scene7.com/is/image/Asda/5059196121858?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/school/boys-school-shirts/easy-on-boys-white-short-sleeve-school-shirt-2-pack/GEM1122582,default,pd.html?cgid=D10M1G1C1"
Black Smiley Face Colour Block Ankle Socks 5 Pack,£4,"https://asda.scene7.com/is/image/Asda/5059197640495?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/kids/underwear-socks/black-smiley-face-colour-block-ankle-socks-5-pack/GEM1122023,default,pd.html?cgid=D25M1G1C10"
Black Ankle Stripe Rib Socks 5 Pack,£7,"https://asda.scene7.com/is/image/Asda/5059196746099?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/men/socks/black-ankle-stripe-rib-socks-5-pack/GEM1103361,default,pd.html?cgid=D2M1G10C18"
Black Cotton Rich Trainer Liner Socks 5 Pack,£3.50,"https://asda.scene7.com/is/image/Asda/5059196745474?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/men/socks/black-cotton-rich-trainer-liner-socks-5-pack/GEM1103363,default,pd.html?cgid=D2M1G10C18"
White Cotton Rich Trainer Liner Socks 5 Pack,£3.50,"https://asda.scene7.com/is/image/Asda/5059196746556?hei=600&wid=450&qlt=85&fmt=pjpg&resmode=sharp2&op_usm=1.1,0.5,0,0&defaultimage=default_details_George_rd","/george/men/socks/white-cotton-rich-trainer-liner-socks-5-pack/GEM1103365,default,pd.html?cgid=D2M1G10C18"
